emp_no,first_name,last_name
10268,Nishit,Siochi
10271,Sham,Eastman
10274,Dmitri,Pearson
10275,Marek,Luck
10276,Xuejun,Hempstead
10278,Lubomir,Nitsch
10283,Kauko,Birjandi
10287,Marie,Pietracaprina
10289,Shay,Poulakidas
10290,Yongmao,Pleszkun
10294,Rutger,Miara
10305,Hirochika,Piancastelli
10309,Prodip,Schusler
10311,Hsiangchu,Molenkamp
10315,Maris,Angelopoulos
10318,Mototsugu,Beilner
10322,Isamu,Dahlbom
10324,Bernardo,Rouquie
10327,Roded,Facello
10328,Serenella,Kawashima
10333,Snehasis,Dymetman
10342,Stella,Hiroyama
10345,Arra,Ratnakar
10352,Erzsebet,Ohori
10358,Qunsheng,Tagansky
10359,Heekeun,Sambasivam
10366,Morrie,Piazza
10373,Hongzue,Heijenga
10379,Mikhail,Rosis
10386,Eishiro,Miyakawa
10389,Make,Peir
10391,Hongzue,Akaboshi
10394,Shawna,Meriste
10395,Takahiro,Deverell
10396,Sibyl,Rahier
10404,Prodip,Rosti
10409,Mario,Straney
10414,Yinlin,Alpin
10415,Mark,Coorg
10424,Babette,Straney
10426,Arunas,Luce
10429,Martien,Improta
10435,Marsha,Tagansky
10439,Jolita,Jarecki
10440,Akeel,Narahara
10443,Shichao,Litvinov
10445,Junichi,Kavanagh
10446,Ebru,Chepyzhov
10450,Khun,Harbusch
10452,Werner,Hasham
10460,Shushma,VanScheik
10469,Munehiko,Ananiadou
10477,Guoxiang,Trogemann
10478,Maik,Ushiama
10482,Goa,Pleszkun
10485,Teruyuki,Sundgren
10488,Mihalis,Heering
10489,Elvia,Homond
10492,Lobel,Kumaresan
10500,Vojin,Narwekar
10501,Susuma,Larfeldt
10506,Kazuhisa,Kroll
10516,Xiadong,Luga
10518,Marin,Lanphier
10519,Yonghoan,Alencar
10527,Tetsushi,Barvinok
10528,Koichi,Lakshmanan
10529,Ymte,Yetto
10530,Boriana,Coors
10538,Przemyslawa,Falby
10542,Yannis,Couchot
10547,Snehasis,Brobst
10549,Beshir,Kisuki
10553,Rajmohan,Wallrath
10554,Dines,Gerlach
10557,Sashi,Karlin
10560,Yinlin,Esteva
10562,Shuky,Pearson
10563,Mohit,Spelt
10566,Jianhui,Zuberek
10571,Fun,Varman
10578,Shigeaki,Shanbhogue
10579,Aiman,Stentiford
10582,Shmuel,Juneja
10584,Mana,Papastamatiou
10585,Sajjad,Willoner
10587,Behnaam,Srimani
10593,Falguni,Kenevan
10594,Kiyokazu,Whitcomb
10599,Seshu,Crelier
10604,Susanna,Brizzi
10606,Toshiki,Marakhovsky
10607,Rosalyn,Hambrick
10609,Janche,Zhang
10610,Irena,Roccetti
10611,Karsten,Blokdijk
10620,Marit,Veeraraghavan
10621,Hinrich,Siepmann
10623,Aleksander,Danlos
10625,Leszek,Petereit
10628,Krisda,Krogh
10631,Inderjeet,Chaudhuri
10632,Yoshimitsu,Velardi
10634,Nahid,Chepyzhov
10639,Pramod,Erol
10641,Guozhong,Zucker
10642,Hirochika,Narlikar
10643,Slavian,Keirsey
10648,Marlo,Ratnaker
10650,Hongzhu,Chepyzhov
10653,Otmar,Feinberg
10659,Dinah,Shackel
10660,Jouko,Kolinko
10663,Teunis,Noriega
10665,Qingxiang,Snyers
10673,Hyuckchul,Casperson
10674,Abdelaziz,Bisiani
10676,Valeri,Danley
10677,Alejandra,Perng
10678,Chriss,Gide
10680,Kish,Honglei
10686,Avishai,Azadmanesh
10690,Matt,Jumpertz
10691,Denny,Setia
10696,Unal,Fendler
10698,Barton,Engberts
10700,Angel,Mondadori
10702,Bader,Szemeredi
10707,Moty,Trystram
10709,Jiafu,Mateescu
10711,Arvind,DuBourdieux
10712,Uma,Koprowski
10714,Aran,Sadowsky
10716,Aiman,Constantine
10718,Adib,Rullman
10719,Guenter,Karunanithi
10726,Zita,Minakawa
10730,Mohit,Janetzko
10738,Rosita,Oppitz
10739,Gor,Iacovou
10740,Suzette,Sadowski
10742,Shim,Wiegley
10746,Kolar,Usery
10750,Roddy,Demeyer
10751,Jordanka,Ushiama
10755,Odysseas,Ressouche
10756,Paddy,Brizzi
10757,Florina,Simkin
10764,Yunming,Beetstra
10769,Vishv,Bouloucos
10772,Munehiro,Dayana
10776,Mahmut,Skafidas
10784,Weijing,Bottner
10791,Tadahiko,Sgarro
10792,Chinya,Birdsall
10793,Oksana,Roisin
10797,Goetz,Hiyoshi
10799,Gad,Griswold
10808,Chenxi,Leijenhorst
10809,Shim,Feldhoffer
10821,Irena,Schurmann
10822,Masaru,Passino
10825,Fan,Fairtlough
10826,Arnd,Anandan
10831,Toong,Driscoll
10842,Berni,Sanella
10843,Honesty,Smeets
10844,Dipayan,Koprowski
10845,Hidde,Tasistro
10846,Tokuyasu,Serre
10849,Makato,Mayerwieser
10854,Jagoda,Nannarelli
10858,Kenroku,Gonthier
10861,Howell,Baek
10879,Muzhong,Chleq
10882,Fun,Heuser
10884,Teunis,Kleiser
10886,Sushant,Begiun
10887,Lunjin,DeMori
10888,Kwangho,Dredge
10891,Susanne,Jiang
10900,Ferdinand,Prenel
10902,Inderjeet,Perly
10904,Debatosh,Colorni
10909,Georgi,Atchley
10916,Make,Spataro
10917,Tesuya,Slaats
10932,Avishai,Picci
10937,Anyuan,Nanard
10940,Aleksander,Fioravanti
10942,Toshimitsu,Larfeldt
10943,Berna,Skafidas
10948,Shigehito,Brodie
10952,Inderjeet,Bharadwaj
10956,Arno,Picel
10958,Huican,Katalagarianos
10961,Weiwu,Choobineh
10963,Hatsukazu,Swist
10967,Eran,Adachi
10969,Premal,Noriega
10971,Isamu,Vadhan
10972,Fumiko,Asser
10973,Valdiodio,Raczkowsky
10974,Muneo,Papsdorf
10980,Filipp,Munawer
10985,Chiradeep,Furedi
10986,Masako,Schiper
10987,Flemming,Baezner
10988,Chinya,Deyuan
10990,Shin,Foote
10991,Munehiro,Aingworth
10992,Zhensheng,Juneja
10994,Divine,Aingworth
10999,Insup,Benveniste
11000,Alain,Bonifati
11001,Baziley,Buchter
11003,Mariangiola,Gulla
11005,Byong,Douceur
11007,Olivera,Maccarone
11011,Moti,Hofstetter
11013,Breannda,Vesel
11016,Sibyl,Rajaraman
11017,Jovan,Sanella
11018,Berthier,Luby
11019,Leon,Huttel
11020,Weiwu,Encarnacion
11032,Erez,Schaaf
11033,Shushma,Bahk
11042,Gou,Breugel
11043,Iara,Range
11059,Shawna,Jarecki
11071,Kwan,Sigstam
11073,Yuriy,Clemencon
11076,Youssef,Schaad
11078,Beshir,Chenoweth
11079,Piyush,Garigliano
11082,Deniz,Fontan
11088,Sadun,Hennings
11093,Licheng,Kitai
11098,Arnd,Covnot
11101,Manibrata,Horswill
11103,Sanjai,Penttonen
11104,Hein,Swan
11106,Aris,Iwayama
11121,Vugranam,Kakkad
11125,Munir,Spieker
11129,Goncalo,Pulkowski
11136,Gladys,Luiz
11137,Hugh,Luca
11138,Adel,Matteis
11140,Elgin,Gihr
11141,Vasiliy,Kermarrec
11142,Moheb,Raney
11143,Yongdong,Rosen
11147,Ayonca,Nitsch
11151,Gor,Reinhard
11156,Tomoyuki,Armand
11157,Mario,Cochrane
11160,Anwar,Nivat
11162,Kauko,Narlikar
11169,Moss,Serra
11170,Minghong,Cannard
11175,Aksel,Rajaraman
11177,Chrisa,dAstous
11180,Mitsuyuki,Bojadziev
11181,Hausi,Cullers
11182,Tze,Steinauer
11183,Herbert,Serdy
11187,Koldo,Makinen
11194,Giap,Tempesti
11196,Gennadi,Breugel
11199,Ortrud,Srimani
11200,Renny,Junet
11207,Saeed,Gips
11219,Youpyo,Heuter
11221,Alselm,Hammerschmidt
11223,Weicheng,Crelier
11230,Yakichi,Tzvieli
11233,Sanjit,Waschkowski
11238,Kwan,Chenoweth
11240,Kiam,Condotta
11246,Maik,Reinhart
11249,Randi,Cyre
11252,Rutger,Dulin
11253,Koldo,Pokrovskii
11255,Ortrud,Karunanithi
11257,Weidon,Pews
11264,Uma,Oehlmann
11267,Shaunak,Zaumen
11275,Hitomi,Eppinger
11277,Munehiro,Ritcey
11289,Chuanti,Cherinka
11290,Visit,Dredge
11291,Gino,Glowinski
11292,Souichi,Sichman
11293,Naftali,Birge
11294,Tru,Segond
11298,Jiong,Alvarado
11300,Lillian,Fontet
11303,Jaewoo,Usery
11304,Rajmohan,Azadmanesh
11308,Tadahiro,Tibblin
11316,Ult,Farrar
11317,Shigeaki,Hagimont
11319,Pranas,Marrakchi
11323,Hyuckchul,Pfau
11325,Samphel,Rossi
11326,Munenori,Plesums
11332,Gunilla,Coney
11333,Heon,Slobodova
11335,Bernd,Plump
11341,Heng,Ranka
11343,Susanne,Erez
11345,Youngkon,Maierhofer
11347,Anneli,Jonsson
11350,Zito,Moehrke
11364,Yucai,Oppitz
11366,Yinlin,Rajaraman
11368,Gino,Bail
11370,Marek,Erie
11371,Tadahiko,Masamoto
11378,Masamitsu,Katiyar
11379,Guiseppe,Chenoweth
11380,Kenroku,Pelc
11382,Akemi,Otillio
11396,Anneke,Servieres
11397,Fumiya,Kisuki
11404,Bedrich,Borovoy
11405,Clyde,Kobuchi
11410,Gro,Vendrig
11419,Leaf,Terkki
11425,Renee,Crelier
11433,Chiranjit,Cairo
11438,Morris,Heping
11440,Lubomir,Jahnichen
11445,Lijie,Denny
11446,Naftali,Narahara
11448,Yolla,Biron
11455,Jianhui,Wolniewicz
11456,Anyuan,Seuren
11465,Tomoyuki,Porenta
11470,Khalid,Michaels
11473,Jiakeng,Eugenio
11491,Maha,Matteis
11500,Ranan,Weedon
11502,Zhaofang,Cochrane
11503,Nathan,Picht
11509,Aleksander,Feldhoffer
11512,Nidapan,Hagimont
11516,Hironoby,Sethi
11523,Yuguang,Pezzoli
11524,Xiadong,Standera
11533,Vitaly,Lorch
11534,Surveyors,Besancenot
11548,Nahid,Leuchs
11551,Subhrajyoti,Gonthier
11565,Yoshinari,Sankaranarayanan
11568,Martins,Fujisaki
11569,Kasidit,Geffroy
11573,Pranas,Hutton
11575,Godehard,Plotkin
11581,Patricio,Rosenbaum
11584,Pradeep,Waymire
11585,Chaitali,Vandervoorde
11587,Shem,Zambonelli
11589,Gina,Plessier
11590,Adel,Eppinger
11592,Hilary,Nishimukai
11597,Yongdong,Talmon
11598,Sariel,Ertl
11604,Deborah,Baar
11612,Siamak,Baar
11613,Lijia,Marchesini
11620,Kwangho,Gadepally
11625,Kokou,Hemaspaandra
11628,Fan,Malinowski
11633,Kazuyasu,Teitelbaum
11634,Turgut,Fraisse
11635,Nalini,Mahnke
11636,Fumitaka,Shiratori
11637,Sangeeta,Melton
11639,Khatoun,Herath
11640,Valeri,Coorg
11641,Chikako,Rothenberg
11642,Dmitri,Verhoeff
11646,Lobel,Rubsam
11647,Magy,Nitsche
11649,Shen,Bernardinello
11653,Mohammed,Ananiadou
11655,Gift,Broomell
11658,Hongzue,Streng
11679,Bedrich,Denna
11693,Hideo,Coorg
11697,JoAnne,Merey
11702,Radhia,Kriebel
11707,Tooru,Hettesheimer
11711,Xianlong,Kuzuoka
11716,Anneli,Leijenhorst
11719,Claudi,Baez
11721,Xuejun,Heydon
11733,Leszek,Sudbeck
11743,Clyde,Huttel
11748,Lihong,Massonet
11749,Masamitsu,Penttonen
11756,Abdelwaheb,Vakili
11757,Jackson,Meriste
11758,Jinpo,Gerlach
11763,Yuriy,Liesche
11766,Nimmagadda,Berztiss
11767,Ortrud,Kusakabe
11769,Chandrasekaran,Lampe
11770,Arumugam,Jakobus
11772,Gaurav,Penz
11775,Sajjad,Xiaoshan
11780,Sugwoo,Sewelson
11790,Huai,Henseler
11791,Gal,Mamelak
11792,Gina,Aumann
11794,Atreye,Ghandeharizadeh
11795,Herbert,Erman
11799,Duro,Silva
11800,Aamer,Fraisse
11802,Katsuo,Benzmuller
11804,Bikash,Rusterholz
11805,Rosine,Grandbois
11806,Shan,Leivant
11808,Morrie,Rosiles
11809,Anneli,Bennis
11810,Amabile,Bhattacharjee
11818,Dmitry,Matteis
11820,Danil,Badache
11823,Weiyi,Iacovou
11824,Zhensheng,Karcich
11832,Arto,Zlotek
11834,Mana,Wegerle
11837,Shigeaki,Sury
11844,Shawna,Demeyer
11861,Vincent,Claffy
11863,Stella,Peng
11871,Nalini,Sommen
11876,Leszek,Kobuchi
11885,Sandeepan,Velasco
11887,Marke,Kragelund
11889,Guiseppe,Baez
11891,Hyuncheol,Bail
11893,Vitali,Zobel
11894,Mitchel,Validov
11895,Flemming,Schreiter
11906,Hideo,Boguraev
11910,Tamiya,Luders
11911,Ashish,Mondadori
11912,Kristian,Giaccio
11913,Gil,Pokrovskii
11920,Kasturi,Chinal
11928,Mang,Wroclawski
11929,Kendra,Beeson
11933,Basil,Erman
11934,Diederik,Deville
11940,Ult,Anido
11943,Ramalingam,Chachaty
11950,Horward,Cichocki
11951,Bernt,Haumacher
11954,Hidde,Krupka
11955,Domenico,Eastman
11957,Frederique,Radivojevic
11959,Duro,Pettis
11968,Mitchel,Dayang
11970,Toong,Marrakchi
11975,Ger,Moehrke
11978,Aran,Khalid
11981,LiMin,Horswill
11983,Jaana,Hedayat
11984,Vasilii,Luit
11988,Chinya,Chinin
11990,Chanjung,Matheson
11996,Ayakannu,Junot
11998,Conal,Juneja
12004,Lucien,Schlenzig
12006,Remco,Erol
12007,Marko,Dehkordi
12009,Sariel,Stifter
12016,Charlene,Schaaf
12018,Fai,Morton
12027,Zhanqiu,Vuskovic
12028,Ingemar,Walstra
12032,Oguz,Etalle
12033,Visit,Serot
12038,Aruna,Businaro
12042,Torsten,Swan
12045,Mototsugu,Boguraev
12052,Masako,Khasidashvili
12056,Nirmal,Genther
12058,Qunsheng,Khamsi
12069,Ayonca,Burnard
12070,Ger,Shokrollahi
12071,Udi,Barinka
12074,Mahmut,Bugaenko
12075,JiYoung,Felcyn
12077,Steve,Hutton
12084,Morris,Krohm
12086,Kensyu,Ariola
12087,Weijing,Jumpertz
12093,Evgueni,Oxenboll
12101,Unal,Karcich
12107,Manibrata,Antonisse
12108,Akeel,Frezza
12109,Tomokazu,Junet
12115,Moni,Candan
12116,Atreye,Levergood
12117,Zvonko,Rosaz
12125,Shounak,Erman
12159,Shem,Perly
12163,Khun,Sewelson
12164,Muneo,Chachaty
12165,Xiaobin,Maquelin
12174,Slavian,Plavsic
12176,Christoper,Holburn
12177,Shahar,Pardalos
12179,Arto,Koshino
12180,Heejo,Ruemmler
12190,Abdulah,Engberts
12194,Florian,Braunschweig
12195,Gay,Taneja
12198,Shai,Huxford
12205,Sushant,Rossi
12206,Barton,Janetzko
12208,Bartek,Passino
12215,Billie,Ecklund
12221,Vincent,Melter
12226,Kankanahalli,Joslin
12228,Sreenivas,Melter
12230,Yuriy,Bellone
12233,Constantijn,Gruenwald
12236,Ebbe,Thambidurai
12238,Gianluca,Back
12242,Satoru,Wolniewicz
12243,Lihong,Leivant
12244,Annemarie,Harllee
12247,Subbu,Penttonen
12249,Eldridge,Sadowski
12250,Kerhong,Aloia
12258,Kankanahalli,Eiter
12260,Mokhtar,Huttel
12264,Mart,Pagter
12265,Geoffry,Noriega
12266,Kirk,Azuma
12274,Garnik,Papadias
12276,Yongmin,Lenart
12279,Renee,Brookman
12280,Lidong,Eiter
12281,Hisao,Langford
12282,Tadahiro,Delgrange
12287,Kerhong,Hagimont
12298,Tetsurou,Rodham
12299,Billie,Kushner
12307,Sarita,Schlumberger
12310,Chandrasekaran,Pettit
12311,Susanne,Lubachevsky
12320,Nobuyoshi,Swick
12322,Mohammed,Kambil
12324,Fun,Delgrange
12327,DAIDA,Bruckman
12333,Gino,Peck
12334,Mary,Ertl
12337,Leaf,Murtha
12340,Xinglin,Vigier
12341,Rasiah,Luga
12344,Hauke,Hennings
12351,Gennady,Zizka
12352,Mizuhito,Stavenow
12353,Isaac,Gini
12357,Gennady,Spinelli
12361,Elliott,Strandh
12362,Valeri,Ressouche
12369,Sanjoy,Giaccio
12379,Kazuhisa,Serna
12384,Alagu,Oppitz
12386,Godehard,Litecky
12388,Arumugam,Hebert
12401,Yolla,Glinert
12405,Zhanqiu,Kambil
12406,Mack,Marchesini
12408,Rasiah,Sudkamp
12409,Ebru,Petereit
12410,Masanao,Besselaar
12421,Toshimi,Gulik
12424,Bernt,Bazelow
12429,Patricio,Varman
12436,Dines,Usdin
12437,Mohammed,Cronan
12440,Tesuro,Engberts
12441,Nevin,Pews
12442,Iara,Lanteri
12447,Bernice,Huxford
12450,Sanjeeva,Perng
12451,Pramod,Marzano
12455,Goncalo,Waeselynck
12456,Bodh,Speel
12461,Tesuro,Silva
12463,Magdalena,Lovengreen
12467,Zhiwei,Bennis
12469,Basant,Khalil
12472,Leah,Madeira
12475,Filipe,Roison
12476,Eckart,Debuse
12479,Salvador,Chachaty
12481,Ipke,Uludag
12484,Armond,Barriga
12488,Etsuo,Gerteisen
12489,Arnould,Munck
12490,Jackson,Muchinsky
12493,Filipp,Menhardt
12498,Radhakrishnan,Socorro
12503,Boguslaw,Matzen
12507,Manton,Plump
12512,Zissis,Remmele
12514,Tomofumi,Melter
12517,Chikako,Bisiani
12518,Claude,Sanella
12524,Tetsushi,Demeyer
12530,Turgut,Strandh
12535,Kazuhiko,Bergere
12538,Haldon,Parascandalo
12548,Chenxi,Baak
12555,Spyrose,DuCasse
12556,Akemi,Delgrande
12563,Honesty,Ducloy
12568,Marlo,Boyle
12569,Thodoros,Lundstrom
12572,Sungwon,McConalogue
12574,Mong,Gelosh
12576,Fusako,Milicia
12581,Jaihie,Kilgour
12588,Yagil,Kenevan
12589,Anoosh,Chleq
12599,Jouni,Lenart
12600,Lucian,Garrabrants
12601,Ghassan,Simkin
12607,Gil,Anguita
12609,Zsolt,Sinitsyn
12613,Niteen,Reeker
12615,Fumino,Oppitz
12616,Adam,Cappelli
12632,Shaleah,Manderick
12638,Yuqun,Seiwald
12646,Shir,Valtorta
12648,Sanjeeva,Speckmann
12650,Odoardo,Demke
12652,Michaela,Hebden
12654,Zhaofang,Tagansky
12661,Berry,Lung
12662,Leucio,Alvarado
12663,Nobuyoshi,Stellhorn
12678,Carrsten,Borovoy
12679,Kolar,Sommen
12682,Isamu,Honiden
12689,Luerbio,Boudaillier
12692,Sastry,Openshaw
12693,Patricia,Demke
12701,Stafford,Hennebert
12709,Ronghao,Botman
12710,Nevin,Breugel
12713,Byong,Demir
12719,Tomokazu,Riexinger
12726,Fumitake,Panwar
12727,Uwe,Ranai
12728,Horward,Stiles
12730,Barry,Perl
12733,George,Lyonns
12734,Gil,Frijda
12736,Prasadram,Tempesti
12743,Sachem,Sudbeck
12744,Woody,Escriba
12750,Yifei,Borstler
12752,Peer,Hitomi
12762,Jaroslava,Koblitz
12764,Valeri,Menhoudj
12765,Yishay,Esteva
12768,Mingdong,Stiles
12773,Jenwei,Lovengreen
12774,Moon,Asrin
12783,Mahendra,Ginneken
12784,Subhada,Murrill
12788,Kristina,Olano
12789,Sanjai,Felcyn
12794,Kristina,Thimonier
12797,Takushi,Turnbull
12801,Achilleas,Birke
12808,Genta,Rebaine
12810,Kristof,Staelin
12811,Genevieve,Eppinger
12812,Waiman,Alameldin
12813,Mack,Schmittgen
12817,Bokyung,Rosti
12821,Arco,Gihr
12823,Pranav,Lanteri
12830,Hsiangchu,Oxenboll
12833,Jaideep,Tibblin
12839,Zeydy,Koshino
12840,Zhensheng,Ferretti
12842,Steen,Stellhorn
12843,Yinlin,Heijenga
12848,Kazuhide,Smeets
12849,Yongdong,Suessmith
12856,Shridhar,Syang
12857,Alagu,Gils
12867,Chiranjit,Lorys
12876,Apostol,Goodrum
12877,Fay,Aseltine
12879,Baruch,Eugenio
12884,Paddy,Zyda
12885,Anwar,Collavizza
12887,Hilari,DuBourdieux
12889,Mayumi,Mukaidono
12905,Munehiro,Gecsei
12907,Menkae,Cmelik
12911,Jordanka,Pluym
12913,Navin,Suermann
12918,Changho,Dulin
12920,Tetsushi,Legleitner
12921,Guther,Gunderson
12923,Chaosheng,Journel
12924,Gritta,McDermid
12928,Howell,Ozeri
12929,Odysseas,Hiraishi
12934,Adil,Solares
12936,Reinhold,Farrow
12940,Odinaldo,Farrar
12941,Tommaso,Perelgut
12948,Djelloul,Bultermann
12949,Geoff,Asrin
12952,Goa,Rosay
12957,Michaela,Worfolk
12960,Tayeb,Navazio
12965,Mitsuyuki,Shanbhogue
12966,Willard,Manders
12970,Sadun,Bellmore
12971,Tetsurou,Gladwell
12977,Byong,Markovitch
12978,Kwun,Kobuchi
12980,Jayson,Delgrange
12982,Sachem,Aamodt
12992,Evgueni,Danner
12997,Zine,Swist
12998,Nadjib,Rindone
13000,Adhemar,Chiodo
13001,Rosita,Wiegley
13002,Henk,Muhlberg
13003,Jinxi,Luft
13006,Jolita,Spelt
13009,Marc,Denis
13010,Sachin,Bach
13011,Aamer,Glowinski
13012,Florina,Harbusch
13016,Fuqing,Figueira
13017,Jouko,Ratnaker
13019,Radhia,Mersereau
13021,Yurii,Schaap
13022,Georg,Juneja
13023,Shugo,Vendrig
13024,Jaques,Zschoche
13025,Tuval,Dahlbom
13029,Selwyn,Demke
13031,Sasan,Kohling
13039,Alain,Akazan
13040,Danny,Berendt
13044,Shigeu,Veevers
13045,Dinah,Manderick
13047,Atilio,Chelton
13048,Kerhong,Massonet
13051,Gad,Feinberg
13052,Aleksandar,Schlenzig
13059,Yakichi,Auria
13060,Khalil,Lodder
13062,Xinglin,Baak
13067,Wayne,Kornyak
13068,Aksel,Magalhaes
13069,Sanjai,Baer
13070,Mohammad,Sridhar
13076,Deniz,Skafidas
13085,Hideo,Jiafu
13089,Fumiko,Viele
13090,Kwee,Poulakidas
13094,Sanjay,Servieres
13097,Xuedong,Munke
13098,Lijie,Fiutem
13102,Bogdan,Kavanagh
13103,Srinidhi,Ellozy
13104,Ung,Conta
13105,Zito,Carrere
13110,Maria,Kamble
13111,Anwar,Krybus
13119,Pranav,Anido
13122,Barry,Murtafg
13123,Hatem,Miake
13125,Snehasis,Krohn
13132,Jianhua,Delgrande
13135,Ramya,Peternell
13136,Gao,Avouris
13141,Guther,Holburn
13145,Mayumi,Baer
13149,Alejandro,Gill
13156,Akeel,Millington
13160,Shigeo,Gomatam
13161,Manu,Picci
13166,Billie,Kushnir
13167,Masaki,Harnett
13177,Mack,Chandrasekhar
13184,Arie,Heering
13192,Rosita,Flowers
13194,Aleksandar,Oberman
13209,Geoff,Setia
13215,Nadjib,Pagter
13218,Junichi,Attimonelli
13220,Martien,Thimonier
13224,Gladys,Dichev
13229,Leszek,Kawashima
13230,Stein,Zizka
13231,Pohua,Sessa
13232,Mitchel,Fujisaki
13233,Alselm,Chvatal
13239,Weiye,Gils
13240,King,Pileggi
13245,Jaewon,Pelz
13254,Chuanti,Thibadeau
13255,Eldridge,Weisert
13260,JoAnna,McDermid
13262,Arch,Halevi
13266,Zorica,Fraisse
13267,Gou,Ranka
13270,Anwar,Kabayashi
13278,Chenxi,Denos
13281,Luerbio,Wursthorn
13283,Unal,Liedekerke
13284,Cathie,Pews
13285,Uinam,Lienhardt
13291,Georg,Stamatiou
13301,Masaki,Krybus
13302,Mack,Alencar
13306,Wanqing,Granlund
13310,Moon,Lally
13311,Remmert,Trumbly
13312,Filipp,Schurmann
13315,Sakthirel,Stroustrup
13317,Iara,Magliocco
13319,Manton,Schwaller
13320,Gino,Bahr
13321,Rasikan,Portugali
13323,Baruch,Danecki
13324,Zeljko,Pews
13325,Gully,Verhaegen
13331,Etsuo,Malinowski
13333,Yoshinari,Hennebert
13340,Jinpo,Highland
13342,Georgy,Doering
13344,Gor,Armand
13346,Francoise,Zastre
13347,Lein,Sifakis
13350,Genta,Cheshire
13353,Moie,Tsunoo
13354,Kazunori,Peek
13358,Koldo,Rodite
13359,Pragnesh,Kragelund
13360,Krassimir,Michaels
13362,Maha,Chaudhury
13374,Atreye,Kalefeld
13375,Dhritiman,Suomi
13377,Nevin,Dulay
13378,Rafols,Zhiwei
13381,Halsur,Crouzet
13382,Makato,Domenig
13386,Khosrow,Sgarro
13395,Jouko,Schapiro
13400,Shaw,Frezza
13401,Przemyslawa,Pavlopoulou
13402,Augustine,Dulli
13406,Muneo,Oberman
13421,Honglan,Luca
13424,Sadegh,Milicia
13425,Shaz,Tramer
13444,Doohun,Lienhardt
13446,Masato,Tramer
13453,Sugwoo,Lalonde
13456,Uzi,Erol
13464,Chanjung,Jeansoulin
13467,Zhigen,Katzenelson
13469,Yonghoan,Undy
13473,Mooi,Bruckman
13474,Szabolcs,Meriste
13476,Niclas,Broomell
13481,Marsal,Range
13485,Isamu,Perly
13493,Uinam,Jullig
13497,Kazuhira,Spelt
13500,Irene,Erol
13502,Reinhold,Riefers
13504,Parto,Mandell
13507,Matt,Wallrath
13514,Teiji,Rebaine
13517,Mark,Setlzner
13530,Irene,Greibach
13534,Shushma,Coullard
13537,Jacqueline,Ibel
13538,Mori,Picel
13539,Cedric,Bala
13541,Pasqua,Peral
13548,Francoise,Guenter
13549,Matk,Koprowski
13550,Alper,Lienhardt
13556,Volkmar,Michaeli
13557,Kwangsub,Eickenmeyer
13560,Sibyl,Jeong
13565,Shuho,Badache
13568,Muneo,Bodoff
13573,Petter,Escriba
13576,Jungsoon,Engberts
13580,Haldun,Irland
13581,Alejandra,Encarnacion
13582,Diederik,Ruemmler
13586,Abdelwaheb,Klassen
13591,Jinxi,Poulakidas
13592,Adam,Roccetti
13603,Paddy,Rissanen
13616,Perry,Lorho
13621,Fei,Haddadi
13627,Gennadi,Yoshizawa
13628,Dipankar,Pfau
13629,Dzung,Trelles
13633,Aloys,Shumilov
13635,Mani,Lorys
13636,Petter,Merel
13637,Zhigen,Cesareni
13638,Ipke,Paludetto
13639,Marie,Zeilberger
13643,Geoff,Chenney
